#,Name,length,height,wingspan
407,Luke KennardLAC | SG,0.75,"6'4.5""","6'5.25"""
408,Tomas SatoranskyNOP | SG,0.75,"6'6.5""","6'7.25"""
409,Tre MannOKC | PG,0.75,"6'3.25""","6'4"""
410,Dario SaricPHX | PF,0.5,"6'9.5""","6'10"""
411,Sharife CooperATL | PG,0.5,"6'0.5""","6'1"""
412,Santi AldamaMEM | PF,0.25,"6'10.75""","6'11"""
413,Deni AvdijaWAS | SF,-0.25,"6'8.75""","6'8.5"""
414,Mason PlumleeCHA | C,-0.25,"6'11.25""","6'11"""
415,Ty JeromeOKC | SG,-0.25,"6'4.25""","6'4"""
416,Cody ZellerPOR | C,-0.5,"6'11.5""","6'11"""
417,Josh GiddeyOKC | SF,-0.5,"6'8""","6'7.5"""
418,Desmond BaneMEM | SG,-0.75,"6'5""","6'4.25"""
419,Frank KaminskyPHX | C,-0.75,"6'11.75""","6'11"""
420,Kelly OlynykDET | C,-1,"6'10.75""","6'9.75"""
421,Kevin PangosCLE | PG,-1,"6'1""","6'0"""
422,Tyler HerroMIA | SG,-1.25,"6'4.5""","6'3.25"""
423,Svi MykhailiukTOR | SG,-1.5,"6'6.5""","6'5"""
