#,Name,length,height,wingspan
93,Miye OniUTA | SG,6.5,"6'4.25""","6'10.75"""
94,Naz ReidMIN | C,6.5,"6'8.75""","7'3.25"""
95,Patrick BeverleyMIN | SG,6.5,"6'0.5""","6'7"""
96,Romeo LangfordBOS | SF,6.5,"6'4.5""","6'11"""
97,Xavier TillmanMEM | PF,6.5,"6'7.5""","7'2"""
98,Bol BolDEN | C,6.25,"7'0.75""","7'7"""
99,Caleb MartinMIA | SG,6.25,"6'4""","6'10.25"""
100,De'Anthony MeltonMEM | PG,6.25,"6'2.25""","6'8.5"""
101,Immanuel QuickleyNYK | PG,6.25,"6'2""","6'8.25"""
102,JaMychal GreenDEN | PF,6.25,"6'8""","7'2.25"""
103,Jeff GreenDEN | PF,6.25,"6'7""","7'1.25"""
104,Myles TurnerIND | C,6.25,"6'9.75""","7'4"""
105,Nikola VucevicCHI | C,6.25,"6'10.25""","7'4.5"""
106,Paul MillsapBKN | PF,6.25,"6'6.75""","7'1"""
107,Rui HachimuraWAS | PF,6.25,"6'7.75""","7'2"""
108,Tony BradleyCHI | C,6.25,"6'9.75""","7'4"""
109,Cade CunninghamDET | SF,6.25,"6'6""","7'0.25"""
110,Aaron HenryPHI | SF,6.25,"6'4.5""","6'10.75"""
111,Anthony EdwardsMIN | SG,6,"6'3""","6'9"""
112,Bam AdebayoMIA | C,6,"6'8.75""","7'2.75"""
113,Boban MarjanovicDAL | C,6,"7'4""","7'10"""
114,Cam ReddishATL | SF,6,"6'6.5""","7'0.5"""
115,Chandler HutchisonPHX | SF,6,"6'7""","7'1"""
116,Christian WoodHOU | PF,6,"6'9.25""","7'3.25"""
117,Damian LillardPOR | PG,6,"6'1.75""","6'7.75"""
118,Dejounte MurraySAS | PG,6,"6'4""","6'10"""
119,Derrick Jones Jr.CHI | PF,6,"6'6""","7'0"""
120,Devonte' GrahamNOP | PG,6,"6'0.25""","6'6.25"""
121,Jonas ValanciunasNOP | C,6,"6'11""","7'5"""
122,Justin HolidayIND | SG,6,"6'5.5""","6'11.5"""
123,Larry Nance Jr.POR | C,6,"6'7.5""","7'1.5"""
124,Markelle FultzORL | SG,6,"6'3""","6'9"""
125,Nathan KnightMIN | PF,6,"6'8""","7'2"""
126,Onyeka OkongwuATL | C,6,"6'8""","7'2"""
127,Otto Porter Jr.GSW | SF,6,"6'7.5""","7'1.5"""
128,Ricky RubioCLE | PG,6,"6'3""","6'9"""
129,Robin LopezORL | C,6,"6'11.5""","7'5.5"""
130,Saben LeeDET | PG,6,"6'2""","6'8"""
131,Victor OladipoMIA | SG,6,"6'3.25""","6'9.25"""
132,Josh ChristopherHOU | SG,6,"6'3.25""","6'9.25"""
133,Usman GarubaHOU | PF,6,"6'8""","7'2"""
134,Bruce BrownBKN | SG,5.75,"6'3.25""","6'9"""
135,Eric PaschallUTA | PF,5.75,"6'6""","6'11.75"""
136,Gorgui DiengATL | C,5.75,"6'9.75""","7'3.5"""
137,Isaiah RobyOKC | PF,5.75,"6'7.25""","7'1"""
138,James JohnsonBKN | PF,5.75,"6'7""","7'0.75"""
139,Justise WinslowLAC | SF,5.75,"6'4.5""","6'10.25"""
